Date,ES/WEC,BAC/PNC,MLM/VMC,CFG/RF,C/USB,MA/V,FITB/PNC,NWSA/NWS,MCO/SPGI,BAC/MET,EQR/ESS,CFG/TFC
2022-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-04,-0.0,0.0,-0.0,0.0,-0.017572627586176406,0.0,-0.0,-0.0,0.0,0.0,-0.007258870489962687,0.0
2022-01-05,-0.0,-0.0,0.0,0.0,-0.006937459604100489,0.0,0.0,0.0,-0.0,-0.0,-0.0008951305945093836,0.0
2022-01-06,0.0,-0.0,-0.0,0.0,0.008059394952807334,-0.0,-0.0,-0.0,0.0,-0.0,-0.003948036280540853,0.0
2022-01-07,0.0,0.0,-0.0,-0.0,-0.0008362066561985546,0.0,-0.0,0.0,0.0,0.0,-0.00139710858291032,-0.0
2022-01-10,-0.0,0.0,0.0157961713053563,0.0,-0.001511319489835826,0.0,0.0,0.0,-0.0,-0.0,0.0017060865839768715,-0.0
2022-01-11,-0.0,-0.0,0.005106907980595089,0.0,0.005126561536015229,-0.0,-0.0,-0.0,0.0,-0.0,-0.006701183832939349,0.0
2022-01-12,0.004070623295783062,-0.0,-0.002,0.0,-0.002823852346392124,-0.0,-0.0,0.0,-0.0,-0.0,0.003984169923554569,-0.0
2022-01-13,-0.009066792428302814,-0.0,-0.0,-0.0,-0.002637814172198452,0.0,-0.0,0.0,-0.0,-0.0,-0.009152803555780256,-0.0
2022-01-14,0.0023229902811345605,-0.007139050310964916,0.0,-0.0,-0.013475581905319802,0.0,0.0,0.0,-0.0,-0.0,-0.003920235790478071,-0.0
2022-01-18,-0.0018744883073014834,-0.012555582538506069,-0.0,0.0,-0.009419038621426639,-0.0,0.0,0.0,-0.009277298768542398,-0.03451188164994733,0.0028280725657617795,-0.0
2022-01-19,-0.001788617412023825,0.04036650538647709,0.0,0.0,0.05636025673999634,-0.0,-0.014401993825932142,-0.0,-0.002,-0.002,0.002009560637555372,0.0
2022-01-20,-0.008663379674401617,-0.002,0.0,-0.012793958380126159,-0.002,0.0,0.019375956623758635,0.0,0.005712779374014697,-0.012638828554042018,-0.0009999149032654427,-0.0
2022-01-21,0.001900895333931649,0.0,-0.0,0.015944402938346144,0.0,0.0,0.0002279591283866969,-0.0,-0.007418273631590863,-0.005932165206552421,-0.007689070170053304,0.0
2022-01-24,0.007452701039365836,-0.0,-0.0,0.028231433969734945,-0.0,0.0,0.008565711537228043,-0.0,0.004036631462186124,-0.005335506156562898,-0.0007313955166409654,-0.0
2022-01-25,-0.0029238824295662997,0.0,-0.0,0.0006298125065503646,0.0,-0.0,0.012908120244472814,0.0,-0.012555316893512088,0.019267036537228686,0.0011353834143873146,-0.0
2022-01-26,-0.004321986195444863,0.0,0.0,-0.0012412632726442,0.0,-0.0,0.01305100025532,-0.0,0.0034100934272429505,0.0010783829788065212,-0.005195180683850241,0.0
2022-01-27,0.0026766910102816593,-0.0,0.0,-0.015546116985481657,-0.0,0.0,-0.002,0.0,0.010358248248166849,0.0015667151611901547,-0.013689069499777395,0.0
2022-01-28,0.0024175501994380816,-0.0,-0.0,0.0024325792529468083,-0.0,-0.0,-0.0,-0.0,0.0036140101363874334,-0.002220627219022761,0.009278051397567294,-0.0
2022-01-31,0.02116047275280141,0.0,0.0,-0.0023219789297452094,0.0,0.0,0.0,-0.0,-0.0015151542167511287,-0.0085766571298051,0.002874634556098008,-0.0
2022-02-01,-0.002,0.0,-0.0,-0.0006767590036972256,0.0,-0.0,0.0,0.0,-0.0026798341277090637,0.002534125333785244,0.004111824575118199,0.0
2022-02-02,-0.0,-0.0,0.0,0.004241168907143199,-0.0,-0.0,0.0,-0.0,-0.0017005693610723238,-0.007258854488726679,-0.02302349479227013,-0.0
2022-02-03,-0.0,0.0,-0.0,-0.005446103419732208,-0.0,0.0,0.0,-0.0,0.0015769372775075938,0.0014312514931197652,-0.020950093923138485,0.0
2022-02-04,0.0,0.0,0.0,0.007150680710047926,0.0,-0.0,0.0,-0.0,0.016023245076528046,0.021349115652219492,0.007732442132450484,0.0
2022-02-07,0.0,0.0,0.0,0.005486127748439637,0.0,-0.0,0.0,-0.0,-0.002,-0.00028647726013695304,-0.005174170413030454,-0.0
2022-02-08,-0.0,-0.012457484085798031,-0.0,0.003607505762029471,0.0,-0.0,-0.016855941062125603,-0.0,0.0,-0.0023945535037609503,0.004105511042727366,-0.0
2022-02-09,-0.0,-0.0006111790106419989,-0.0,-0.008293143172841971,0.0,0.0,-0.002,-0.003806914482943723,-0.0,-0.003256962039094665,0.003718015140486794,0.0
2022-02-10,-0.0,0.00410568509902343,0.0,0.008364747934217497,0.0,0.0,-0.0013014078085840078,0.0019542734483432578,0.0,-0.005769941913916931,0.010468134139533705,0.0
2022-02-11,-0.0,0.008785404951431833,-0.0,0.006153397081696821,0.0,-0.0,-0.006519422905806357,0.005420267969516914,0.02823752544173569,-0.030508587554829235,0.0038272998149491513,0.0
2022-02-14,-0.0,-0.0020832129790596555,-0.0,0.0027253763838911305,0.0,0.0,-0.009520479340856505,0.0009232620294542526,0.009080579477080897,0.0017720235259094646,-0.001961915299368569,0.0005294220509286345
2022-02-15,0.0,0.004038713402664464,0.0,-0.002,-0.0,0.0,-0.008600708597875737,0.0001562863245243018,-0.007455887727730105,-0.011770655670090217,0.0011011504774161192,0.010892354193637238
2022-02-16,-0.0,0.008554371272390253,-0.0,0.0,-0.0,-0.0,0.005288828681917121,-0.0018055964813988128,0.0005891705681175066,-0.0017667918780689869,0.004120747556193408,-0.0033384769331525187
2022-02-17,0.0,0.0013335498013432381,0.0,0.0,-0.0,-0.0,-0.014805243186368715,0.001382157370864029,0.009903629951238807,-0.010947443166429954,0.000871987574363969,-0.006616139943364088
2022-02-18,0.0,0.0017912903621423908,0.0,0.0,-0.0,0.0,-0.0015890222090270466,0.00537134379734476,-0.008669439722495672,0.0011972171805592086,0.00934398040669639,-0.008015024427631547
2022-02-22,-0.0,0.017511129900901604,0.0,-0.0,-0.0,0.0,0.009039388870546686,-0.002,0.005740811678995832,-0.0005497952514052981,-0.0002569404903061839,-0.0008003117834629756
2022-02-23,-0.0,-0.002,0.0,-0.0,0.0,0.0,0.0004902736241734623,-0.0,-0.005025920843402604,-0.00449646757906357,0.002588666066802938,-0.010588971575000931
