Date,AAPL,MSFT,NVDA,GOOGL,META,AMZN,TSLA,PG,KO,JPM,GS,JNJ,UNH,CAT,HON,XOM,CVX,NEE,AMT,SPY
2018-01-02,40.30418014526367,78.87036895751953,4.9282660484313965,53.22063446044922,180.0074005126953,59.45050048828125,21.368667602539062,72.82498931884766,35.25034713745117,85.90126037597656,213.144287109375,110.76419067382812,193.0904541015625,131.54385375976562,117.08695220947266,58.580406188964844,89.45238494873047,31.563600540161133,114.97183227539062,236.56214904785156
2018-01-03,40.29716110229492,79.23739624023438,5.252614498138428,54.128623962402344,183.2321014404297,60.209999084472656,21.149999618530273,72.73661804199219,35.172943115234375,85.98883056640625,211.1601104736328,111.82227325439453,195.11599731445312,131.74485778808594,116.11954498291016,59.730953216552734,90.10445404052734,30.89402198791504,115.41990661621094,238.05845642089844
2018-01-04,40.484336853027344,79.93480682373047,5.280303001403809,54.33888626098633,182.8947296142578,60.47949981689453,20.974666595458984,73.25076293945312,35.66835021972656,87.22065734863281,214.1112823486328,111.81427764892578,195.96290588378906,133.55422973632812,117.68868255615234,59.81364059448242,89.823974609375,30.735275268554688,113.73358154296875,239.06179809570312
2018-01-05,40.94524383544922,80.92585754394531,5.325048923492432,55.05943298339844,185.3950958251953,61.457000732421875,21.10533332824707,73.29896545410156,35.660606384277344,86.66072082519531,213.0192108154297,112.73716735839844,199.6996307373047,135.66510009765625,118.51136016845703,59.7653923034668,89.67671966552734,30.875709533691406,114.46675109863281,240.6549530029297
2018-01-08,40.793182373046875,81.00843811035156,5.4882121086120605,55.253822326660156,186.81394958496094,62.34349822998047,22.42733383178711,73.68460083007812,35.60641860961914,86.7886962890625,209.92625427246094,112.88035583496094,196.23355102539062,139.0742645263672,117.87155151367188,60.03409957885742,90.11846923828125,31.13010025024414,115.688720703125,241.0950469970703
2018-01-09,40.78850555419922,80.9533920288086,5.486727714538574,55.183406829833984,186.40716552734375,62.6349983215332,22.246000289916992,73.14634704589844,35.78445053100586,87.2286605834961,211.7020263671875,114.67033386230469,197.21136474609375,139.4093475341797,118.83894348144531,59.779151916503906,89.63465881347656,30.90216064453125,114.90666961669922,241.64073181152344
2018-01-10,40.779151916503906,80.5863265991211,5.5297441482543945,55.05199432373047,186.3773956298828,62.71649932861328,22.31999969482422,72.68038177490234,35.660606384277344,88.18852233886719,212.0271453857422,114.53509521484375,195.74464416503906,138.94029235839844,119.66160583496094,59.303810119628906,90.20960235595703,30.647768020629883,112.1042709350586,241.27105712890625
2018-01-11,41.01077651977539,80.82492065429688,5.539633750915527,55.14672088623047,186.30795288085938,63.83399963378906,22.530000686645508,72.42330932617188,35.63737869262695,88.66043853759766,212.69406127929688,115.18741607666016,196.78355407714844,141.72959899902344,120.29385375976562,59.8893928527832,92.95109558105469,30.629446029663086,109.95358276367188,243.03134155273438
2018-01-12,41.434261322021484,82.21969604492188,5.512439250946045,56.06908416748047,177.97335815429688,65.26000213623047,22.4146671295166,71.989501953125,35.72252655029297,90.124267578125,214.27810668945312,115.95909881591797,199.62110900878906,142.65103149414062,121.16986846923828,60.2958869934082,93.67327117919922,30.59281349182129,108.34873962402344,244.61570739746094
2018-01-16,41.223697662353516,81.07266998291016,5.441488742828369,56.071571350097656,177.00100708007812,65.24299621582031,22.67066764831543,72.47953033447266,36.016658782958984,89.80431365966797,215.4701690673828,116.8342056274414,203.3404083251953,141.82177734375,120.27099609375,59.91696548461914,92.55844116210938,30.637584686279297,110.49130249023438,243.7794952392578
2018-01-17,41.90454864501953,82.71522521972656,5.555455207824707,56.488128662109375,176.21713256835938,64.75,23.143999099731445,73.26683044433594,36.24113845825195,90.38024139404297,211.460205078125,116.92967224121094,208.16856384277344,141.143310546875,120.66710662841797,60.626583099365234,92.80384826660156,30.910308837890625,111.31405639648438,246.1031036376953
2018-01-18,41.941986083984375,82.67852020263672,5.548531532287598,56.332908630371094,178.4000244140625,64.66600036621094,22.971332550048828,72.99969482421875,36.2875862121582,90.59622192382812,209.22601318359375,116.88196563720703,212.2982177734375,141.4197235107422,120.18724822998047,60.23386001586914,92.26396179199219,30.686439514160156,110.13280487060547,245.6895751953125
2018-01-19,41.75480270385742,82.5867691040039,5.688703536987305,56.706321716308594,179.87838745117188,64.72899627685547,23.334667205810547,73.72016143798828,36.50432205200195,90.39623260498047,213.51937866210938,117.23198699951172,212.46409606933594,143.40574645996094,120.88040924072266,60.040977478027344,92.06065368652344,30.560260772705078,112.11239624023438,246.8074188232422
2018-01-22,41.413211822509766,84.06415557861328,5.777207374572754,57.73085403442383,183.92665100097656,66.3655014038086,23.437332153320312,74.3839340209961,36.67461013793945,91.45209503173828,218.02125549316406,117.8525619506836,212.64749145507812,143.80966186523438,120.76614379882812,60.798805236816406,92.94409942626953,30.53175926208496,113.43214416503906,248.8140869140625
2018-01-23,41.42255783081055,84.33029174804688,5.906256198883057,58.3264274597168,187.8756561279297,68.12699890136719,23.519332885742188,72.0849838256836,36.728790283203125,91.3561019897461,216.82899475097656,112.83261108398438,214.0880584716797,142.58103942871094,121.56597137451172,60.8332633972168,91.86432647705078,31.08126449584961,115.02888488769531,249.34222412109375
2018-01-24,40.762760162353516,84.25685119628906,5.82936954498291,58.084434509277344,185.09747314453125,67.87550354003906,23.05933380126953,71.4859619140625,37.02292251586914,92.52397155761719,221.48927307128906,113.0235366821289,213.77377319335938,141.66371154785156,121.8554458618164,60.99171447753906,92.12374114990234,30.700681686401367,115.48504638671875,249.2453155517578
2018-01-25,40.03510665893555,84.72483825683594,5.842971324920654,58.62248611450195,186.02020263671875,68.89749908447266,22.50933265686035,71.51024627685547,37.03067398071289,92.5479507446289,224.28213500976562,114.87715148925781,214.0618133544922,142.530517578125,123.27983856201172,60.88147735595703,91.60488891601562,31.156574249267578,116.462646484375,249.35092163085938
2018-01-26,40.128700256347656,86.31233215332031,6.01552677154541,58.891265869140625,188.52061462402344,70.10250091552734,22.856666564941406,71.01646423339844,37.56476974487305,93.04389190673828,223.54006958007812,115.61702728271484,216.934326171875,140.58656311035156,125.67939758300781,61.315486907958984,91.98351287841797,32.09274673461914,118.23043060302734,252.2379913330078
2018-01-29,39.29808807373047,86.18387603759766,6.102544784545898,58.83770751953125,184.5319061279297,70.88400268554688,23.302000045776367,70.31219482421875,36.922306060791016,92.94789123535156,227.15821838378906,114.30438995361328,216.0087890625,136.8165283203125,122.99805450439453,60.633460998535156,90.08340454101562,31.683664321899414,117.5787124633789,250.5655975341797
2018-01-30,39.06645584106445,85.10106658935547,6.00044584274292,58.38594436645508,185.66302490234375,71.89099884033203,23.05466651916504,70.38504028320312,36.69782638549805,92.07601165771484,224.20703125,113.30992126464844,206.6144561767578,137.8094482421875,121.09367370605469,59.78605270385742,87.80469512939453,31.565631866455078,118.24673461914062,247.99554443359375
2018-01-31,39.17409133911133,87.18411254882812,6.076586723327637,58.62644958496094,185.434814453125,72.54450225830078,23.62066650390625,69.89126586914062,36.83716583251953,92.52397155761719,223.3316650390625,109.93680572509766,206.72801208496094,136.98480224609375,121.6269302368164,60.14430236816406,87.88882446289062,32.241310119628906,120.32408142089844,248.11886596679688
2018-02-01,39.25597381591797,86.49586486816406,5.945564270019531,58.595211029052734,191.5865020751953,69.5,23.28333282470703,69.49462890625,36.728790283203125,93.48384094238281,226.94979858398438,111.39264678955078,205.365966796875,136.53041076660156,121.61167907714844,61.36372756958008,88.0430679321289,31.8179988861084,119.80270385742188,247.83712768554688
2018-02-02,37.55265808105469,84.22015380859375,5.773006439208984,55.501277923583984,188.7983856201172,71.49749755859375,22.916667938232422,68.19942474365234,36.171478271484375,91.41210174560547,216.787353515625,109.53107452392578,202.44984436035156,132.53311157226562,119.32649230957031,58.23594665527344,83.14205932617188,31.732521057128906,118.30380249023438,242.441650390625
2018-02-05,36.61442565917969,80.75150299072266,5.283023357391357,52.6840705871582,179.8486328125,69.5,22.208667755126953,65.6171875,34.747222900390625,87.02870178222656,207.67539978027344,103.73151397705078,192.09515380859375,127.13886260986328,114.39038848876953,54.92216491699219,78.96320343017578,31.400785446166992,115.71316528320312,232.3021697998047
