Date,BAC,C,CFG,EQR,ES,ESS,FITB,MA,MCO,MET,MLM,NWS,NWSA,PNC,RF,SPGI,TFC,USB,V,VMC,WEC
2018-01-02,24.637500762939453,56.57959747314453,30.40255355834961,46.742454528808594,47.26968002319336,181.2464141845703,22.34402656555176,144.8092498779297,135.8316192626953,37.83739471435547,211.7947540283203,15.331314086914062,14.954545021057127,108.78199005126952,12.607962608337402,156.360595703125,35.12240219116211,39.01634979248047,108.11190032958984,122.65432739257812,50.44883728027344
2018-01-03,24.555095672607425,56.754600524902344,30.751596450805664,46.98534393310547,46.85050582885742,183.1035614013672,22.410112380981445,146.6300048828125,138.36923217773438,38.07868576049805,214.1480407714844,15.42257595062256,15.009160041809082,108.75941467285156,12.629741668701172,158.87168884277344,35.50233840942383,39.39908218383789,109.18821716308594,124.90526580810548,50.27241516113281
2018-01-04,24.876453399658203,57.45463943481445,31.114900588989254,46.175750732421875,46.191802978515625,180.21966552734375,22.49087905883789,148.52699279785156,140.91612243652344,38.72714614868164,214.61862182617188,15.449949264526367,15.100179672241213,108.76693725585938,12.73136043548584,161.25265502929688,35.93151092529297,39.702369689941406,109.59418487548828,124.05879974365234,50.09600067138672
2018-01-05,24.99181365966797,57.37852478027344,31.257349014282227,46.138946533203125,46.27412414550781,180.71043395996097,22.54962158203125,151.6060333251953,143.258544921875,39.08908462524414,213.98797607421875,15.696348190307615,15.291321754455566,108.9022979736328,12.695063591003418,163.41036987304688,36.04409408569336,39.94789505004883,112.2188720703125,122.68224334716795,49.75850296020508
2018-01-08,24.81877326965332,56.708946228027344,31.38558578491211,46.44807052612305,46.596004486083984,179.7969207763672,22.542282104492188,152.06431579589844,144.1415557861328,39.19465255737305,216.7366180419922,15.696348190307615,15.318628311157228,109.1054229736328,12.680547714233398,164.78683471679688,36.23405456542969,40.00566482543945,112.67203521728516,124.57965850830078,50.18804931640625
2018-01-09,24.9423770904541,57.30244445800781,31.47818374633789,45.88871765136719,46.244197845458984,178.37010192871094,22.94613265991211,152.28392028808594,145.11752319335938,39.48117446899414,214.62806701660156,15.741976737976074,15.364137649536133,111.18903350830078,12.905561447143556,164.8426971435547,36.64916229248047,40.280059814453125,112.45489501953124,124.76567840576172,49.78917694091797
2018-01-10,25.173091888427734,57.561161041259766,31.98394203186035,45.23368835449219,45.89987564086914,175.3125762939453,23.188446044921875,152.6275634765625,143.89990234375,39.98639297485352,213.32904052734375,15.650716781616213,15.336832046508787,112.54290008544922,13.123312950134276,163.32667541503906,37.08538818359375,40.58335876464844,112.33213806152344,123.14728546142578,48.83802795410156
2018-01-11,25.26373291015625,57.492671966552734,32.26887130737305,44.86569595336914,46.0495719909668,175.47865295410156,23.394044876098633,153.6396484375,144.7457275390625,40.33324432373047,216.16244506835935,15.970118522644045,15.54617977142334,113.94952392578124,13.210419654846191,164.06141662597656,37.401981353759766,40.92997741699219,113.14411163330078,125.7330093383789,48.768985748291016
2018-01-12,25.70044708251953,58.46658706665039,32.42559051513672,44.46826934814453,45.922325134277344,171.44729614257812,23.75383949279785,154.98587036132812,146.1678924560547,40.21260070800781,217.21669006347656,16.015748977661133,15.609889030456545,114.21281433105467,13.268486976623535,165.2147216796875,37.387916564941406,41.14661407470703,113.38013458251952,124.60758972167967,48.80735397338867
2018-01-16,25.741653442382812,58.67203903198242,32.23326110839844,44.652252197265625,45.622928619384766,171.82473754882812,23.70244026184082,154.94769287109375,144.56910705566406,39.09663009643555,212.9149475097656,15.787606239318848,15.446053504943848,115.0972671508789,13.181379318237305,163.5312957763672,37.345703125,41.2838249206543,113.66338348388672,124.34716796875,48.43916702270508
2018-01-17,25.692209243774418,58.94595718383789,32.65354537963867,44.78474426269531,46.14688491821289,171.64358520507812,23.85663414001465,156.8858642578125,146.31661987304688,39.62444686889648,213.71499633789065,16.015748977661133,15.66450023651123,116.58641052246094,13.326555252075195,164.42416381835938,37.48641586303711,40.6844596862793,115.1645278930664,125.1750030517578,48.76133346557617
2018-01-18,25.93941879272461,58.88508605957031,32.5965576171875,44.490333557128906,45.518123626708984,169.55995178222656,23.621665954589844,157.99337768554688,146.47467041015625,39.926063537597656,213.3384704589844,15.878862380981444,15.482463836669922,116.19334411621094,13.174123764038086,166.1447296142578,38.09148788452149,40.547245025634766,116.23136138916016,125.71441650390624,48.53121566772461
2018-01-19,26.13717460632324,59.577510833740234,33.35161590576172,44.50505447387695,45.5031623840332,168.82762145996094,23.863977432250977,159.28228759765625,147.96188354492188,40.26538848876953,213.6584930419922,16.015748977661133,15.673601150512695,117.357421875,13.55156707763672,168.4698944091797,38.55584716796875,40.77110290527344,115.84431457519533,125.59352111816406,48.40848159790039
2018-01-22,26.318452835083008,59.79813766479492,34.056846618652344,45.027610778808594,45.48069381713867,171.06979370117188,24.062236785888672,160.66665649414062,149.16099548339844,40.604698181152344,213.40435791015625,16.015748977661133,15.637201309204102,117.71275329589844,13.907231330871582,169.4092559814453,38.61214447021485,41.34880447387695,117.38323974609376,123.70535278320312,48.33177185058594
2018-01-23,26.30196952819824,59.76772689819336,34.09959030151367,45.476566314697266,45.75017166137695,175.0181427001953,24.17237663269043,159.62599182128906,149.50491333007812,40.42372512817383,217.8379364013672,15.833231925964355,15.537074089050291,117.75055694580078,14.05239963531494,170.13462829589844,38.6051025390625,41.291038513183594,117.68535614013672,125.45402526855467,48.768985748291016
2018-01-24,26.442049026489254,60.452518463134766,33.75053024291992,45.218963623046875,45.75765609741211,174.80674743652344,24.47342872619629,159.45413208007812,150.75975036621094,40.79320526123047,218.6286773681641,15.878862380981444,15.555277824401855,119.23970794677734,14.103208541870115,170.30210876464844,38.69656753540039,41.7026481628418,117.59092712402344,126.0213394165039,48.50820541381836
2018-01-25,26.442049026489254,60.44491958618164,33.244781494140625,45.0496940612793,48.33259582519531,174.5878143310547,24.113628387451172,160.96267700195312,151.3174591064453,40.71780776977539,224.16357421875,15.787606239318848,15.509766578674316,119.28508758544922,13.892712593078612,169.16738891601562,38.47845077514648,41.86874008178711,118.22349548339844,128.8582305908203,49.19854736328125
2018-01-26,26.532691955566406,60.93186950683594,33.44422912597656,45.29256057739258,47.95833969116211,173.5082550048828,24.488115310668945,162.63343811035156,155.44454956054688,41.29840850830078,225.87677001953125,15.970118522644045,15.600786209106444,119.9351577758789,14.06691551208496,170.94383239746094,39.01317596435547,41.962615966796875,119.26204681396484,131.24859619140625,49.098819732666016
2018-01-29,26.598608016967773,60.84056854248047,33.30176544189453,45.0496940612793,46.73821640014648,171.930419921875,24.35594367980957,160.92442321777344,150.35076904296875,41.0194206237793,223.0057678222656,15.833231925964355,15.52797031402588,120.3509292602539,13.979816436767578,168.37684631347656,38.9709587097168,41.87596130371094,117.86473846435548,129.21163940429688,48.33945846557617
2018-01-30,26.26900291442871,59.820987701416016,32.888607025146484,44.57865905761719,46.82805252075195,171.1830291748047,24.24580192565918,159.62599182128906,150.23924255371094,37.498085021972656,221.99851989746097,15.787606239318848,15.51886749267578,119.36063385009766,13.89997100830078,167.725830078125,38.71766662597656,41.44990539550781,116.64681243896484,130.05809020996094,48.569576263427734
2018-01-31,26.367889404296875,59.714447021484375,32.852821350097656,45.34408187866211,47.22477340698242,175.88633728027344,24.30454444885254,161.35414123535156,150.3879852294922,36.246376037597656,214.7786865234375,15.924489974975586,15.573478698730469,119.45137786865234,13.958044052124023,168.4326934814453,38.83023452758789,41.26215744018555,117.28883361816406,125.93761444091795,49.32128143310547
2018-02-01,26.77988624572754,60.26228332519531,33.504154205322266,44.40202713012695,45.03157043457031,171.50013732910156,24.715736389160156,165.1062774658203,152.0425262451172,36.487667083740234,210.9287567138672,15.650716781616213,15.309525489807127,120.30554962158205,14.183053970336914,169.26971435546875,39.18907165527344,41.49322891235352,118.6955795288086,124.84938049316406,48.01728820800781
2018-02-02,26.32669258117676,58.841304779052734,32.9387092590332,44.12234115600586,44.425270080566406,170.14878845214844,24.326574325561523,162.83396911621094,147.4320526123047,36.160736083984375,204.53726196289065,15.285687446594238,14.936342239379885,119.41358947753906,13.97255802154541,164.92637634277344,38.77396011352539,41.08883285522461,114.1543197631836,121.84513854980467,47.56472396850586
2018-02-05,24.93413543701172,55.97638702392578,31.26386260986328,42.72397232055664,43.66176223754883,164.56976318359375,23.276554107666016,157.14356994628906,140.64654541015625,34.890995025634766,196.82791137695312,14.692509651184082,14.408428192138672,113.63075256347656,13.39913558959961,154.72364807128906,37.21202087402344,39.44239807128906,109.7735595703125,116.45046997070312,46.920406341552734
2018-02-06,25.708694458007812,57.16056823730469,31.922359466552734,42.47373580932617,43.07041931152344,165.1963653564453,23.511524200439453,161.6213836669922,146.80931091308594,35.126708984375,198.10812377929688,15.057538986206056,14.827122688293455,116.63177490234376,13.55156707763672,167.37246704101562,37.78894805908203,39.44239807128906,113.26685333251952,117.92005920410156,46.168697357177734
2018-02-07,25.74989128112793,57.29045104980469,32.09413528442383,41.8481559753418,42.583885192871094,164.43382263183594,23.74649429321289,161.09629821777344,146.84640502929688,35.17231369018555,206.0056915283203,14.875025749206545,14.617774963378906,117.16853332519533,13.76206111907959,169.91146850585938,37.8663444519043,39.572383880615234,112.9647216796875,119.27801513671876,45.91557693481445
