Date,long,short,long_short
2019-03-01,0.0047002318908277,0.0097604947259607,-0.0050602628351329
2019-03-04,-0.015166881679307,8.750641070883174e-05,-0.0152543880900159
2019-03-05,0.0019926147880948,-0.0081692621978873,0.0101618769859822
2019-03-06,-0.0073136730987674,-0.0162555175085146,0.0089418444097472
2019-03-07,-0.0065530217728458,-0.0077335501913295,0.0011805284184836
2019-03-08,-0.0022460714309184,-0.0037081828807892,0.0014621114498708
2019-03-11,0.0175087909080835,0.0194303991671032,-0.0019216082590196
2019-03-12,0.0037490373725071,0.0046334506389598,-0.0008844132664526
2019-03-13,0.0060926374112286,0.0073679439579557,-0.0012753065467271
2019-03-14,0.0003981711346796,-0.0034381367800042,0.0038363079146839
2019-03-15,0.0024516619921043,0.0036054724236182,-0.0011538104315138
2019-03-18,0.0016399255098196,0.0079733531323443,-0.0063334276225246
2019-03-19,0.0070200665395325,-0.0026893433340128,0.0097094098735454
2019-03-20,-5.767680847500916e-05,-0.0043233469541108,0.0042656701456358
2019-03-21,0.017758054442764,0.0194516724993193,-0.0016936180565552
2019-03-22,-0.0259364363299493,-0.0283518788725342,0.0024154425425848
2019-03-25,0.0025045748813544,-0.0006291070195223,0.0031336819008768
2019-03-26,0.0037951363053212,0.0087059020192057,-0.0049107657138845
2019-03-27,-0.009632943544648,-0.0034155779593335,-0.0062173655853145
2019-03-28,0.0105943033421956,0.0052173035352212,0.0053769998069743
2019-03-29,0.0090785518991761,0.0072402401877448,0.0018383117114312
2019-04-01,0.0074775193714176,0.0184305383633618,-0.0109530189919441
2019-04-02,0.0007540504834092,-0.0040035894474336,0.0047576399308428
2019-04-03,0.0044377116360203,0.0032291469316295,0.0012085647043907
2019-04-04,-0.009117815916069,0.0098209104731821,-0.0189387263892512
2019-04-05,0.0055709739819307,0.0105242845524038,-0.0049533105704731
2019-04-08,-0.0009889985322308,0.0022779467704769,-0.0032669453027077
2019-04-09,-0.0008460839637689,-0.0149420762821274,0.0140959923183585
2019-04-10,0.0110766343022082,0.0088973686504833,0.0021792656517248
