Date,nav
2022-01-03,1.0
2022-01-04,0.9979307084936551
2022-01-05,0.9972793433031352
2022-01-06,0.9976210243928654
2022-01-07,0.9974353575398127
2022-01-10,0.9987645181531376
2022-01-11,0.9990585116205403
2022-01-12,0.9993275032021786
2022-01-13,0.9975905545676169
2022-01-14,0.9957440246160921
2022-01-18,0.990366159063557
2022-01-19,0.9968485769498062
2022-01-20,0.9956849767462614
2022-01-21,0.995438855732689
2022-01-24,0.9989411062957508
2022-01-25,1.0004779067107903
2022-01-26,1.0010432639788789
2022-01-27,0.9996556902096734
2022-01-28,1.0009487085047526
2022-01-31,1.0019180703609947
2022-02-01,1.0020257228488711
2022-02-02,0.9997092272796019
2022-02-03,0.997760793281488
2022-02-04,1.0021056660099341
2022-02-07,1.0019407762095824
2022-02-08,0.99993731531808
2022-02-09,0.9987498744600124
2022-02-10,1.0002331421098194
2022-02-11,1.0015164316287992
2022-02-14,1.0016387047542163
2022-02-15,1.0005002799643843
2022-02-16,1.0014709530620347
2022-02-17,0.999895513935607
2022-02-18,0.9998480476779867
2022-02-22,1.0022380413681429
2022-02-23,1.0006484567306035
2022-02-24,1.0013373248435349
2022-02-25,1.0026764664421806
2022-02-28,1.0001706316597094
2022-03-01,1.0027918643907219
2022-03-02,1.00262745090086
2022-03-03,1.0013376987555034
2022-03-04,1.001367691714306
2022-03-07,1.002161433101341
2022-03-08,1.0015029862607994
2022-03-09,1.0064010269093249
2022-03-10,1.0043679970886696
2022-03-11,1.0002986949876258
2022-03-14,0.9979111360855707
2022-03-15,1.000436617726528
2022-03-16,1.0023457103615265
2022-03-17,1.0023195311022224
2022-03-18,1.003015853929282
2022-03-21,1.0031789871833838
2022-03-22,1.0036298343364116
2022-03-23,1.0032856537863866
2022-03-24,1.0034843555396256
2022-03-25,1.0009433639437983
2022-03-28,1.0014029862116178
2022-03-29,1.003564895553175
2022-03-30,1.0017897790934605
2022-03-31,1.000095164319393
2022-04-01,0.998489109703434
2022-04-04,0.999100441463227
2022-04-05,0.9942457298425533
2022-04-06,0.9927812362051688
2022-04-07,0.9936667118697824
2022-04-08,0.9940705785128002
2022-04-11,0.9924560493570117
2022-04-12,0.9939633640953682
2022-04-13,0.9935907803688373
2022-04-14,0.988793420859208
2022-04-18,0.9953135722550017
2022-04-19,1.0000233532132445
2022-04-20,0.9990555923867347
2022-04-21,0.9981771072794191
2022-04-22,0.9948441179621654
2022-04-25,0.993380380787787
2022-04-26,0.9949796636985953
2022-04-27,0.9932341371315864
2022-04-28,0.9936725419930275
2022-04-29,0.9928654244505879
2022-05-02,0.9955541069822816
2022-05-03,0.9981891121242846
2022-05-04,1.0014243480293725
2022-05-05,0.9983282870284418
2022-05-06,0.9977767329461925
2022-05-09,1.0004428585315557
2022-05-10,1.0019027912758838
2022-05-11,1.0036389086833528
2022-05-12,1.005075278140801
2022-05-13,1.0024455124957437
2022-05-16,1.0052551174295221
2022-05-17,1.00897480583834
2022-05-18,1.0080499714871007
2022-05-19,1.0067635056309236
2022-05-20,1.004471092226293
2022-05-23,1.008203005549953
2022-05-24,1.0065883440225376
2022-05-25,1.0063129052989024
2022-05-26,1.0059754659938258
2022-05-27,1.0059995613726447
2022-05-31,1.007506009441442
2022-06-01,1.006722015753412
2022-06-02,1.0067687687318547
2022-06-03,1.006225993124754
2022-06-06,1.0064310647443828
2022-06-07,1.0058074674100437
2022-06-08,1.005018323802841
2022-06-09,1.002966367152506
2022-06-10,1.0012121149825388
2022-06-13,0.9992670864978622
2022-06-14,0.9947367725111517
2022-06-15,0.9978627254190195
2022-06-16,1.000071755304302
2022-06-17,0.9981749691954996
2022-06-21,1.0000082450444534
2022-06-22,0.9986435983809044
2022-06-23,0.9960670381325063
2022-06-24,0.9910423328811037
2022-06-27,0.9922654635148225
2022-06-28,0.9913959243778436
2022-06-29,0.9922084724220513
2022-06-30,0.9869314624627931
2022-07-01,0.9887995167865803
2022-07-05,0.9894465004146128
2022-07-06,0.9876911561999389
2022-07-07,0.9930326254830739
2022-07-08,0.9931710304344027
2022-07-11,0.9918540375963376
2022-07-12,0.9926909761635117
2022-07-13,0.9957752484022963
2022-07-14,0.9977152166415534
2022-07-15,1.0089983871504895
2022-07-18,1.0103311411786586
2022-07-19,1.0083636826440217
2022-07-20,1.0112089174637615
2022-07-21,1.012490210036688
2022-07-22,1.0143068767955468
2022-07-25,1.0125360962162722
2022-07-26,1.0117091990421614
2022-07-27,1.0128881461498085
2022-07-28,1.0106288657818865
2022-07-29,1.012018113387198
2022-08-01,1.0127371412966726
2022-08-02,1.0134957405439657
2022-08-03,1.0135582076025698
2022-08-04,1.0116134819614484
2022-08-05,1.0119805636080879
2022-08-08,1.012086125811172
2022-08-09,1.0111735105854678
2022-08-10,1.0117977167376933
2022-08-11,1.012663698800722
2022-08-12,1.0123923088847602
2022-08-15,1.0133666940854031
2022-08-16,1.0131553014498207
2022-08-17,1.0132402014537767
2022-08-18,1.0136590134905548
2022-08-19,1.0141979380407662
2022-08-22,1.0147502846160277
2022-08-23,1.0150761162211874
2022-08-24,1.0141251109094271
2022-08-25,1.0131663127675026
2022-08-26,1.0139217666862312
2022-08-29,1.0136931328447547
2022-08-30,1.0137347353167911
2022-08-31,1.0138742736684712
2022-09-01,1.013947923427273
2022-09-02,1.0133323575546311
2022-09-06,1.0134084020195144
2022-09-07,1.012715387920367
2022-09-08,1.013756499305316
2022-09-09,1.0148436978768205
2022-09-12,1.0156891833050319
2022-09-13,1.0144176583431121
2022-09-14,1.0119479898613157
2022-09-15,1.0126346004665516
2022-09-16,1.0126262996537623
2022-09-19,1.0124038926348997
2022-09-20,1.0115187598787931
2022-09-21,1.0119773128747844
2022-09-22,1.0109135934644493
2022-09-23,1.0122066121637219
2022-09-26,1.009733374363055
2022-09-27,1.010221210699808
2022-09-28,1.0135476102539775
2022-09-29,1.0145487133363538
2022-09-30,1.0127764297025315
2022-10-03,1.0139746233600362
2022-10-04,1.0163771447055776
2022-10-05,1.0145430980168135
2022-10-06,1.0133306927855834
2022-10-07,1.010533134492831
2022-10-10,1.0101896574897202
2022-10-11,1.0056936956970217
2022-10-12,1.005713900912732
2022-10-13,1.0071350052053862
2022-10-14,1.0050025769291429
2022-10-17,1.013975383351119
2022-10-18,1.010208704983014
2022-10-19,1.0104582746422763
2022-10-20,1.0134736030397296
2022-10-21,1.0050481103536528
2022-10-24,1.00679952592822
2022-10-25,1.009057023253778
2022-10-26,1.0069754917494946
2022-10-27,1.0076704685068236
2022-10-28,1.0072715117043796
2022-10-31,1.0068178181426375
2022-11-01,1.0092437911467511
2022-11-02,1.0087583057516436
2022-11-03,1.0036722871282353
2022-11-04,1.005430265570941
2022-11-07,1.003895120180478
2022-11-08,1.0048929259810977
2022-11-09,1.0027033757015476
2022-11-10,1.0045977768030039
2022-11-11,1.0077171341892885
2022-11-14,1.0103953336195077
2022-11-15,1.0117166068346215
2022-11-16,1.0106528779471267
2022-11-17,1.0067592738553661
2022-11-18,1.005803881173775
2022-11-21,1.0088591880296784
2022-11-22,1.0085603572345812
2022-11-23,1.0117427284709677
2022-11-25,1.0106232461970774
2022-11-28,1.0110859015080487
2022-11-29,1.0117132974280079
2022-11-30,1.0117935366180297
2022-12-01,1.014163575011908
2022-12-02,1.0114344315500916
2022-12-05,1.0088618230064477
2022-12-06,1.0040000043866015
2022-12-07,1.0040796324184653
2022-12-08,1.0030682757105052
2022-12-09,1.0042091399274007
2022-12-12,1.0065052430796704
2022-12-13,1.0088359515880692
2022-12-14,1.0071448826837714
2022-12-15,1.0065973060350681
2022-12-16,1.0064601396696902
2022-12-19,1.006799865788941
2022-12-20,1.0062779912092514
2022-12-21,1.0071560787977445
2022-12-22,1.0087822280814234
2022-12-23,1.0088846293570242
2022-12-27,1.0093117384811012
2022-12-28,1.0106840274167246
2022-12-29,1.0106883827892599
2022-12-30,1.0106123999182441
2023-01-03,1.0098781233283431
2023-01-04,1.0100723372544214
2023-01-05,1.0117980795745891
2023-01-06,1.0117193395655184
2023-01-09,1.0131740086708767
2023-01-10,1.0139945566063617
2023-01-11,1.0135285230910394
2023-01-12,1.0128613046384058
2023-01-13,1.013762230113894
2023-01-17,1.0136927741693245
2023-01-18,1.019763370268675
2023-01-19,1.0147051471930766
2023-01-20,1.0171139264548905
2023-01-23,1.0185240619572176
2023-01-24,1.0194698458972558
2023-01-25,1.020006822788609
2023-01-26,1.0201373375253855
2023-01-27,1.0228941350387677
2023-01-30,1.0232343775893538
2023-01-31,1.0224119824948996
2023-02-01,1.0227709691047315
2023-02-02,1.0227027923485459
2023-02-03,1.0219297188863876
2023-02-06,1.0235464492043402
2023-02-07,1.0228062376429496
2023-02-08,1.0227570982433825
2023-02-09,1.0229346677198685
2023-02-10,1.02228329493935
2023-02-13,1.0219566001699487
2023-02-14,1.0228799952316991
2023-02-15,1.023037477201912
2023-02-16,1.0274507571172182
2023-02-17,1.0257728560020374
2023-02-21,1.0267965727909885
2023-02-22,1.0275985343535674
2023-02-23,1.0292625421161508
2023-02-24,1.0288751326091974
2023-02-27,1.0291381966065642
2023-02-28,1.028878794146333
2023-03-01,1.0278601861009742
2023-03-02,1.022969927066969
2023-03-03,1.0215467400571376
2023-03-06,1.0207075173836455
2023-03-07,1.0179797205424796
2023-03-08,1.0189075427470746
2023-03-09,1.0142309891670696
2023-03-10,1.0173236984970915
2023-03-13,1.0182613355643426
2023-03-14,1.00995133196883
2023-03-15,1.0131936170012739
2023-03-16,1.0123630723848616
2023-03-17,1.004936710173954
2023-03-20,1.005721163904874
2023-03-21,1.0094365500278355
2023-03-22,1.0070088754757403
2023-03-23,1.0082835052984536
2023-03-24,1.0084094560258823
2023-03-27,1.0042438381226804
2023-03-28,1.0058056107960356
2023-03-29,1.0076881506365076
2023-03-30,1.0077202204622178
2023-03-31,1.0065643658689372
2023-04-03,1.0034528570192547
2023-04-04,1.0002860659403952
2023-04-05,1.0003690725882979
2023-04-06,1.0042926867696529
